,,,,,,,,,,,,,,,,,,2-Pt Field Goals,,,,,3-Pt Field Goals,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,Defense Four Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restricted Area,,,In the Paint (Non-RA),,,Mid-Range,,,Left Corner 3,,,Right Corner 3,,,Above the Break 3,,,Backcourt,,
,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,,Dunks,,Layups,,,Corner,,Heaves,,Age,W,L,Expected Wins,Expected Losses,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Team ID,,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,,,
9,Detroit Pistons,82,19805,0.45,13.1,0.667,0.26,0.185,0.107,0.116,0.333,0.488,0.657,0.346,0.433,0.388,0.373,0.465,0.044,271,0.28,1047,0.889,0.227,0.392,19,1,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,Oracle Arena,"803,436","19,596",82,19730,42.9,85.3,0.503,11.3,28.9,0.391,31.5,56.3,0.56,16.6,20.4,0.815,8.4,35.1,43.6,29.3,8,7.5,15.5,19.6,113.6,10,1610612744,Golden State Warriors,17,24.9,0.683,5,11.2,0.449,9.5,20.1,0.47,1.1,2.7,0.392,0.9,2.1,0.411,9.3,23.7,0.394,0,0.3,0
10,Golden State Warriors*,82,19730,0.503,14,0.661,0.267,0.111,0.139,0.144,0.339,0.56,0.708,0.424,0.485,0.463,0.391,0.643,0.071,454,0.229,952,0.801,0.158,0.405,26,0,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,"732,722","17,871",82,19755,39.5,86,0.46,15.6,43.2,0.362,23.9,42.8,0.558,20,25.7,0.781,9.2,35.2,44.4,22,8.7,4.9,14.1,19.9,114.7,11,1610612745,Houston Rockets,17.3,26.9,0.643,3.1,8.1,0.376,3,6.9,0.444,1.9,4.7,0.405,2,5.3,0.388,11.3,32.1,0.353,0,0.2,0.059
11,Houston Rockets*,82,19755,0.46,15,0.498,0.288,0.103,0.062,0.044,0.502,0.558,0.669,0.369,0.454,0.43,0.362,0.47,0.062,392,0.261,1004,0.689,0.227,0.401,17,1,26.2,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,"658,119","16,052",82,19755,42.3,89.6,0.472,9.4,25.4,0.369,32.9,64.2,0.513,15.5,19.9,0.779,10,34,43.9,23,9.1,4.3,13.8,19.5,109.5,12,1610612754,Indiana Pacers,17.2,27.6,0.622,5.2,12.2,0.426,9.4,22.1,0.426,1.1,3,0.376,1.3,2.7,0.481,6.6,18.6,0.356,0,0.3,0
12,Indiana Pacers*,82,19755,0.472,13,0.716,0.293,0.136,0.096,0.191,0.284,0.513,0.638,0.42,0.449,0.422,0.369,0.465,0.041,250,0.294,1168,0.819,0.22,0.425,21,0,27,42,40,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,"697,812","17,020",82,19705,40.7,86.4,0.471,9.6,27.1,0.354,31.2,59.3,0.525,19.2,25.8,0.743,10.3,34.1,44.4,22.6,7.7,4.6,14.9,20.2,110.3,13,1610612746,LA Clippers,20.7,32.9,0.63,5.4,13.7,0.392,4.7,12,0.389,1.2,3.5,0.334,0.9,2.7,0.352,7.4,20.5,0.36,0,0.2,0.067
13,Los Angeles Clippers,82,19705,0.471,11.8,0.686,0.347,0.164,0.083,0.091,0.314,0.525,0.659,0.378,0.424,0.378,0.354,0.502,0.082,512,0.301,1153,0.726,0.219,0.338,15,1,23.7,35,47,37,45,-1.55,0.11,-1.44,106.5,108,-1.5,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,STAPLES Center,"776,327","18,935",82,19905,40.1,87.1,0.461,9.9,28.6,0.345,30.2,58.4,0.517,16.4,23,0.714,10.5,35.2,45.7,23.4,7.6,4.7,15.6,20.9,106.5,14,1610612747,Los Angeles Lakers,20.7,32.4,0.638,5.3,14,0.377,4.8,13,0.368,1,2.7,0.383,1,2.4,0.404,8,23.8,0.337,0,0.2,0
14,Los Angeles Lakers,82,19905,0.461,12.4,0.671,0.321,0.168,0.086,0.096,0.329,0.517,0.67,0.39,0.354,0.378,0.345,0.492,0.059,385,0.299,1253,0.865,0.159,0.372,17,0,26,22,60,25,57,-6.21,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,"653,863","15,948",82,19705,38.7,87.1,0.444,9.7,27.6,0.352,28.9,59.5,0.486,17.5,22.2,0.786,10,32.6,42.6,22.7,7.9,5.1,15.7,24.4,104.5,15,1610612763,Memphis Grizzlies,16.9,28.3,0.597,4.3,12.1,0.353,6.4,16.2,0.393,1,2.8,0.343,0.9,2.4,0.36,7.4,20.7,0.357,0,0.3,0
15,Memphis Grizzlies,82,19705,0.444,12.8,0.683,0.312,0.139,0.1,0.132,0.317,0.486,0.62,0.352,0.372,0.398,0.352,0.51,0.049,296,0.304,1087,0.815,0.189,0.35,26,0,26.5,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,AmericanAirlines Arena,"804,850","19,630",82,19930,40.1,88.1,0.455,11.4,31.6,0.36,28.7,56.6,0.508,15.2,20.2,0.755,9.6,35.3,44.9,23.5,7.8,5.5,14.9,20.8,106.8,16,1610612748,Miami Heat,17.4,27.3,0.635,5.1,13,0.392,5.4,14.4,0.371,1.3,3.7,0.363,1.8,4.5,0.404,7.9,22.2,0.355,0,0.2,0
16,Miami Heat*,82,19930,0.455,13.2,0.642,0.279,0.163,0.095,0.104,0.358,0.508,0.658,0.416,0.383,0.367,0.36,0.457,0.053,336,0.268,1067,0.908,0.256,0.388,18,0,25.9,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,"685,303","16,856",82,19830,41,85.6,0.478,9,25.5,0.355,31.9,60.1,0.531,18.8,24.1,0.783,8.7,32.4,41.1,24,9.1,5.6,14.3,22,109.8,17,1610612749,Milwaukee Bucks,18.6,28.8,0.645,5.1,12.3,0.414,7.3,17.3,0.423,1.2,3,0.393,1.5,3.7,0.417,6,17.8,0.338,0,0.1,0
17,Milwaukee Bucks*,82,19830,0.478,12.4,0.703,0.31,0.152,0.114,0.127,0.297,0.531,0.685,0.373,0.463,0.406,0.355,0.501,0.068,419,0.279,1065,0.883,0.263,0.405,12,0,27.1,47,35,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,Target Center,"699,308","17,056",82,19805,42.5,89.2,0.476,8.3,23.3,0.357,34.2,65.9,0.519,20.1,25,0.804,10.7,32.7,43.4,23.5,8.7,4.4,12.9,18.9,113.4,18,1610612750,Minnesota Timberwolves,17,25.7,0.659,7.7,17.1,0.448,8.4,20.9,0.403,1.3,3.4,0.384,0.8,2,0.418,5.9,16.9,0.347,0,0.1,0
18,Minnesota Timberwolves*,82,19805,0.476,12.3,0.739,0.264,0.196,0.129,0.15,0.261,0.519,0.69,0.433,0.432,0.403,0.357,0.487,0.053,343,0.255,1029,0.825,0.226,0.403,12,0,27.6,48,34,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,"673,920","16,437",82,19955,41.9,86.6,0.483,10,27.7,0.362,31.9,59,0.54,15.8,20.5,0.772,8.5,35,43.5,26.3,7.9,5.8,14.6,18.8,109.6,19,1610612740,New Orleans Pelicans,19.2,29.5,0.65,7,15.2,0.461,6.3,15.5,0.407,1.5,3.7,0.393,1.4,3.4,0.402,7.4,21,0.353,0,0.2,0
